Id,ProductId,UserId,HelpfulnessNumerator,HelpfulnessDenominator,Time,Summary,Text,Score,Helpfulness,UserFrequency,ProductFrequency,SummarySentimentScore,SummarySentiment,TextSentimentScore,TextSentiment,Year,Month,Day
1506956,B0060MYKYY,AU3PO882GSVB,0,0,2013-09-01,One of the best TV Shows ever made!,"This show jumped into my top ten all time favorites from the very first episode. On a par with the Sopranos, NYPD Blue, ER, etc., I can't seem to watch these shows enough. I own the DVD's, I'll watch them on Prime when they're available, and wish they hadn't ended, even though the inevitable end is near and necessary.",5.0,0.0,1,5,0.6696,very positive,0.743,very positive,2013,9,1
631031,B00005JNJ1,ADHKBOHN77DVP,22,29,2007-02-15,Oh Where oh Where Are The Good TV Shows,"I like other reviewers are wondering where the heck Third Watch is. Like the reviewer who stated ridiculous shows like ""Hogan Heroes"" is released , and I will add my own ridiculous show ""Boomtown"", yet shows that people really want, like ""Sisters"", ""Thirtysomething"" Third Watch"", quality shows which ran for years are still in the holding pen. Why? It took almost 5 years for them to release ""NYPD Blue"", seasons 3 and 4....It has been off the air for two years and ran for 12 seasons, come on...get with the program. You will not strong arm people into buying sets that they have no interest in. Well here are our thoughts TV executives.........We are the consumers, listen up.",5.0,0.7586206896551724,1,1,0.4404,positive,0.8439,very positive,2007,2,15
1498666,B005S9EJ14,A2LDPQI42VVG2C,0,0,2012-11-05,Funny and yet deep,Very enjoyable movie about life and its turns. If you are interested in chance or how others suffer with you and yet live life to its fullest and become compassionate people watch this movie.,5.0,0.0,1,5,0.4404,positive,0.7645,very positive,2012,11,5
1530053,B007DIZQQ0,A3TWEHVJDYS779,0,0,2013-03-19,Awesome music,"Yanni has been one of my favorite musicians since I ran across him many years ago. I started watching when it first came out on laserdisc. I wish I could see and hear his music in person, but someday I'll attend his concert. This Blueray is awesome to watch over and over. I even had the DVD version and that too was enjoyable to watch. I'm glad this came out on Blueray and I look forward to seeing more of his concerts debut on Blueray discs.",5.0,0.0,1,1,0.6249,very positive,0.9542,very positive,2013,3,19
139291,0792837797,A23BTLTIHMJN01,8,13,2008-08-07,A Great Cult Movie,"Red Dawn joins the ranks of good cult movies. However, what is particularly interesting was its reception when it first came out. When Red Dawn came out, American leftists went ballistic because the movie portrayed their precious Soviet Union and Communist Cuba in a bad light. Those of us who lived during the Seventies and Sixties remember the absolute censorship that liberals had over the media and one of their iron clad rules was that no criticism of Communism, Cuba, or the Soviet Union was to be allowed to be aired. It was the perfect censorship. However, Red Dawn was not the first one; a couple of years prior to this a made for TV movie came out (""Amerika""), which was very, very badly made, but which worked on the same story line. But . . . since it was the first one to violate the Politically Correct restriction, well, the reaction against Red Dawn was nothing compared to the reaction to Amerika---the liberals went into hysterics. Ted Turner, one of Hollywood's limousine Communists (along with Hanoi Jane, Robert Redford and Warren Beatty) actively tried to kill the movie by having specials run at the same time slot for the purpose of indoctrination (read ""peace programs"" in PC jargon). A book, or film, needs to be made about that time (You think Michael Moore might be interested?).",5.0,0.6153846153846154,3,1,0.6249,very positive,-0.8095,very negative,2008,8,7
837056,B0002J58GU,A3V6BVJXWE5E91,0,0,2013-03-13,great movie,pros great movie cons i dont think there is any  overall i think any buyer will like this movie cause it is realy intersting,5.0,0.0,1,1,0.6249,very positive,0.765,very positive,2013,3,13
855951,B0006213G2,A3W1GVSMHYU7B0,1,1,2008-04-29,Great workout in short amount of time!,I really enjoy this walking and jogging dvd.  The intervals are great.  It is a great workout when you are short on time and still want to make the time you invest in your workout to count.I have a library of Leslie's videos and this one is definetly one of her good ones.  Short but sweet!,5.0,1.0,1,1,0.6588,very positive,0.9142,very positive,2008,4,29
1326162,B0035AO4WC,A11X95CLUA4BCB,8,8,2010-03-16,Wow this is good!!!!!,"I am a long time fan of the raviana series of DVDs. And I have to thank them for helping me lose a lot of weight. Transformer Workout is seriously good stuff!!!!!!!!!  A very interesting workout that has all the great stretching and strengthening and core work, etc, we fans have come to love from these two yogis. But then you do a rebirthing technique called Born Free or you can substitute it with Purify Your Past. And WOW! I felt like I really seriously let go of some heavy baggage, tension, and inertia after just one doing! Makes me believe in magic again. So many amazing things are happening. I recommend choosing one of the techniques and doing it 7 days. Very powerful!",5.0,1.0,1,1,0.7156,very positive,0.9892,very positive,2010,3,16
344361,6302891272,A3ICDLUQ3V2QY2,1,4,2000-02-25,Shakespeare-san,"The story of Macbeth is firmly rooted in western minds in Birnam Wood, and this is well-portrayed in Roman Polanski's version of the tale (q.v.).  Akira Kurosawa, however, who was long a fan of Western culture over his  native Japanese society, has translated it well for the feudal Japanese  setting into which he injects it.  It loses some of the beauty of  Shakespeare's original language, as a previous review suggested, but the  story drives along at a pleasing clip and the characters pop off the screen  and stick with you.  Toshiro Mifune's portrayal of the warlord Washizu is  much more pleasing to this viewer than his role in &quot;Yojimbo,&quot; the  movie that made him a star.  One note of intrest only to people like  myself: this movie is worthless for practising Japanese.  The  &quot;nihongo&quot; in this movie is out of date and doesn't jibe with what  you get in your college courses.",5.0,0.25,3,1,0.0,neutral,0.9153,very positive,2000,2,25
1275966,B002L9N4O2,A2R5RKO5QJ0US1,0,0,2014-01-03,Great Show - Brings back my youth..,"It is great to be able to watch these shows again.  Brings back great memories of gathering around the television to watch Wild Will West, Gomer Pyle and Hogans Heroes.  If you grew up watching this show you will not be disappointed.",5.0,0.0,1,1,0.6249,very positive,0.9332,very positive,2014,1,3
222367,6300216713,A6VXZ1EEPRTLV,1,1,2012-07-01,Marathon Man is perhaps the best of the 1970's suspense thrillers with Nazi ties...,"Based on a novel by William Goldman, and directed by John Schlesinger, Marathon Man (1976) is a superlative thriller loaded with intrigue and deception, featuring a number of high tension action scenes, brutal torture, and a memorable villain with an ice-cold evil soul and a deadly trick up his sleeve.  The terrific story is brought to life by a marvelous cast, headed by Dustin Hoffman, Sir Laurence Oliver, Roy Scheider, William Devane, and Marthe Keller.  Some spoilers follow.The film opens in New York City, with two elderly men being killed in a traffic accident.  This incident triggers a sequence of events that brings a former Nazi named Christian Szell (Oliver) out of hiding in Uruguay.  A government agent named ""Doc"" Levy (Roy Scheider) is on his trail, looking to get his hands on a fortune in diamonds, that Szell has stashed in a safety deposit box in a New York bank.Thomas Babbington ""Babe"" Levy (Hoffman), Doc's kid brother, is a student at Columbia and a runner training for his first marathon.  Babe has recently begun a romance with a woman named Elsa (Keller), whom he met in a library.  The runner is suddenly drawn into a situation he has no knowledge of, when after being stabbed by Szell, a wounded Doc collapses at Babe's apartment and dies on the floor.A man named Janeway (Devane) arrives, claiming to work for a top secret branch of the government.  He informs Levy that his brother was also a government agent.  Janeway's prediction that Babe is in danger is correct, as he is abducted that night by Szell's henchmen, and taken to meet the former Auschwitz dentist, who asks the iconic question ""is it safe"", as probes and drills Levy's teeth.  Szell is eventually convinced that Levy knows nothing about his plans, and orders him killed, however Levy manages to escape, and must somehow find a way out of the situation.Marathon Man is not without flaws, but once matters reach a critical mass, events move so quickly, that there isn't much time to question what is happening.  After his escape, Levy doesn't contact the police.  Instead, when things finally calm down, he finds himself at a house in the country.  It's a strange detour that doesn't quite fit, as Levy has absolutely nothing to bargain with.In the city, Szell is visiting jewelry shops, looking for information about diamonds.  This doesn't seem to make that much sense either, however it sets the stage for ghosts from Szell's past to return, as he is recognized by some former death camp inmates.  The scenes are eerily effective, as Szell frantically scrambles to escape his past.Laurence Olivier's performance is magnificent, earning him a well deserved Oscar nomination.  At 69 and not in the best of health, there appeared to be physical limitations on what Olivier could do, yet the final confrontation scene with Levy in a pump station, is still quite dramatic and memorable.  Dustin Hoffman (The Graduate,Straw Dogs,Kramer vs. Kramer) is also outstanding, playing a man who has survived a trip to hell, sucking his teeth in pain as a reminder of the ordeal.  Although 39, the youthful looking Hoffman passes for a college student at the start of the film, however at the end, having been through the grinder, Hoffman very much looks his age.Roy Scheider (Jaws, The Seven Ups), and William Devane are also excellent.  Accomplished Swiss actress Marthe Keller, who did not speak English when she got the part, gives a remarkable performance in her American film debut.  She would soon become somewhat typecast, appearing in a string of thrillers includingBlack Sunday(1977),The Formula(1980), andThe Amateur(1981).The Nazi element was a popular theme in thrillers during the 1970's, and free of any political ties, it fits perfectly here, as it seems quite possible that a person like Szell could exist.  Most of the remaining story seems credible, and although there are some unknowns, matters come together pretty well, in what is one of the best thrillers of the decade.  The DVD contains some nice extras, including a relatively recent retrospective featurette.",5.0,1.0,6,2,0.6486,very positive,0.972,very positive,2012,7,1
